GCODE,municipio,lat,lat_rank,long,long_rank,pop2000,pop_rank,area,area_rank,density,density_rank,centroid_altitude,c_alt_rank,mean_altitude,m_alt_rank,x,y,health_region
45,Loiza,18.419864,66,-65.873096,10,32537,43,50.358594,71,646.1062038,11,20,12,1.601250052,1,256335.8624,265626.9706,San Juan
46,Luquillo,18.365132,56,-65.72183,5,19817,65,66.556821,65,297.7455909,46,50,34,116.2129974,28,274842.478,256445.5923,Fajardo
47,Manati,18.426333,67,-66.488592,46,45409,20,116.974144,33,388.1968993,31,44,26,84.33190155,20,193960.3343,264955.8839,Arecibo
48,Maricao,18.182151,28,-66.958807,65,6449,77,94.870047,44,67.97719832,77,400,71,550.3460083,73,146169.3978,237536.6643,Mayaguez
49,Maunabo,18.014228,7,-65.910137,13,12741,73,54.486451,69,233.8379499,60,50,33,186.4660034,44,254013.6881,220534.0396,Caguas
50,Mayaguez,18.202791,30,-67.1487,75,98434,8,201.068404,5,489.5547885,24,3,3,107.2770004,27,128498.4299,241618.3483,Mayaguez
51,Moca,18.37956,62,-67.084245,71,39697,29,130.242672,26,304.7925798,43,50,38,126.2080002,30,131561.7109,260383.4223,Aguadilla
52,Morovis,18.31708,49,-66.415286,43,29965,46,100.68096,42,297.6233043,47,209,64,228.5339966,52,201368.9673,253528.4558,Arecibo
53,Naguabo,18.216876,33,-65.737115,6,23753,58,133.899918,24,177.3936859,66,100,49,228.5850067,53,271842.5595,244118.7563,Caguas
54,Naranjito,18.294571,45,-66.250988,33,29709,47,70.326818,62,422.4419765,28,200,62,335.1839905,62,219097.954,250334.3536,Bayamon
55,Orocovis,18.217827,34,-66.422657,44,23844,57,164.439692,13,145.0014878,71,802,78,667.9760132,77,199970.9443,242248.4548,Bayamon
56,Patillas,18.013113,6,-66.012374,19,20152,63,120.941393,28,166.6261608,69,95,45,285.1459961,58,244655.3845,221935.4011,Ponce
57,Penuelas,18.053763,12,-66.723166,55,26719,52,114.880458,37,232.5808973,61,50,37,329.7619934,61,169493.4579,225153.6424,Ponce
58,Ponce,18.022451,9,-66.611756,52,186475,3,297.126521,2,627.5945997,12,50,39,257.7659912,57,180837.9312,225093.2177,Ponce
59,Quebradillas,18.45174,75,-66.930428,63,25450,56,58.66508,68,433.818551,27,144,56,160.595993,38,147941.8865,267179.1878,Arecibo
60,Rincon,18.336121,52,-67.236754,78,14767,72,36.987831,75,399.2394147,29,50,32,66.89209747,16,115602.2648,255748.2435,Mayaguez
61,Rio Grande,18.366213,57,-65.82277,8,52362,15,157.281037,15,332.919982,36,19,11,224.0800018,51,265482.8776,256890.9755,Fajardo
62,Sabana Grande,18.073078,16,-66.948643,64,25935,55,92.94373,47,279.0398018,49,102,52,255.220993,55,145969.2802,227687.9882,Mayaguez
63,Salinas,17.988424,5,-66.259293,34,31113,44,179.259682,8,173.5638469,67,29,16,147.3829956,34,218690.5919,219759.442,Ponce
64,San German,18.097433,18,-67.044805,70,37105,34,141.178142,21,262.8239717,54,46,27,171.7590027,40,135942.064,230891.5155,Mayaguez
65,San Juan,18.407652,64,-66.060292,22,434374,1,123.84183,27,3507.490159,1,22,14,48.18159866,13,239341.8999,261316.3287,San Juan
66,San Lorenzo,18.15633,25,-65.968314,16,40997,27,137.656489,22,297.8210493,45,170,60,253.4259949,54,248351.3135,234885.7706,Caguas
67,San Sebastian,18.329816,51,-66.976947,67,44204,23,182.525567,6,242.1797709,58,97,46,190.6499939,45,143142.8132,254905.1591,Aguadilla
68,Santa Isabel,17.984072,1,-66.393332,41,21665,62,88.418645,50,245.0275052,57,21,13,46.41579819,12,204721.2707,217838.856,Ponce
69,Toa Alta,18.36802,58,-66.234147,32,63929,12,70.880712,61,901.9237843,9,49,31,86.34819794,21,219733.5306,258568.7212,Bayamon
70,Toa Baja,18.433173,68,-66.204207,30,94085,9,59.989296,67,1568.363129,5,0,1,17.90929985,3,223285.8443,266249.3594,Bayamon
71,Trujillo Alto,18.3457,53,-66.007211,18,75728,10,53.735601,70,1409.27055,7,17,10,87.94519806,22,245922.4064,255707.8116,San Juan
72,Utuado,18.268896,42,-66.705193,54,35336,38,293.830968,3,120.2596181,72,145,57,380.4890137,67,171487.0939,248486.431,Arecibo
73,Vega Alta,18.419666,65,-66.331864,39,37910,32,71.872092,60,527.464819,16,50,35,78.00309753,19,210146.6676,263806.8889,Bayamon
74,Vega Baja,18.44129,71,-66.396035,42,61929,13,118.858686,31,521.030495,19,38,17,67.49639893,18,203762.3863,265934.364,Arecibo
75,Vieques,18.125664,20,-65.456036,2,9106,76,131.645368,25,69.17068286,76,61,40,41.05360031,7,304951.3614,232357.3859,Fajardo
76,Villalba,18.126023,21,-66.482086,45,27913,51,91.798136,48,304.069355,44,200,63,408.3349915,70,195789.9042,232608.7518,Ponce
77,Yabucoa,18.072752,15,-65.897039,12,39246,30,143.105464,20,274.2452937,51,41,20,159.3600006,37,256862.1348,226305.4915,Caguas
78,Yauco,18.06547,14,-66.855879,59,46384,19,176.498982,9,262.8003826,55,100,50,363.6130066,65,154960.1344,227396.2197,Ponce
